work_year,job_title,salary,salary_in_usd,company_size
2021,Data Engineer,20000,20000,L
2021,Data Analytics Manager,120000,120000,L
2021,Data Engineer,48000,66022,S
2021,Data Analytics Manager,140000,140000,L
2021,Data Analyst,90000,71786,M
2021,Data Analyst,200000,200000,L
2021,Data Architect,180000,180000,L
2021,Data Engineer,1600000,21637,M
2021,Data Analyst,80000,80000,L
2021,Data Engineer,110000,110000,L
2021,Data Engineer,52500,72212,L
2021,Data Engineer,108000,12103,M
2021,Data Engineer,70000,96282,L
2021,Data Analyst,93000,93000,L
2021,Data Engineer,200000,200000,L
2021,Data Analyst,54000,63831,L
2021,Data Engineer,93150,93150,M
2021,Data Engineer,111775,111775,M
2021,Data Engineer,250000,28016,M
2021,Data Engineer,55000,65013,M
2021,Data Engineer,72500,72500,L
2021,Data Engineer,112000,112000,L
2021,Data Engineer,59000,69741,L
2022,Data Engineer,135000,135000,M
2022,Data Analyst,155000,155000,M
2022,Data Analyst,120600,120600,M
2022,Data Engineer,170000,170000,M
2022,Data Engineer,150000,150000,M
2022,Data Analyst,102100,102100,M
2022,Data Analyst,84900,84900,M
2022,Data Engineer,40000,52351,M
2022,Data Analyst,99000,99000,M
2022,Data Analyst,116000,116000,M
2022,Data Analyst,106260,106260,M
2022,Data Analyst,126500,126500,M
2022,Data Engineer,242000,242000,M
2022,Data Engineer,200000,200000,M
2022,Data Engineer,60000,78526,M
2022,Data Engineer,40000,52351,M
2022,Data Engineer,35000,45807,M
2022,Data Analyst,90320,90320,M
2022,Data Engineer,181940,181940,M
2022,Data Engineer,132320,132320,M
2022,Data Engineer,220110,220110,M
2022,Data Engineer,160080,160080,M
2022,Data Analyst,124190,124190,M
2022,Data Analyst,130000,130000,M
2022,Data Analyst,110000,110000,M
2022,Data Analyst,170000,170000,M
2022,Data Analyst,115500,115500,M
2022,Data Analyst,112900,112900,M
2022,Data Analyst,90320,90320,M
2022,Data Analyst,112900,112900,M
2022,Data Analyst,90320,90320,M
2022,Data Engineer,165400,165400,M
2022,Data Engineer,132320,132320,M
2022,Data Analyst,167000,167000,M
2022,Data Engineer,243900,243900,M
2022,Data Analyst,136600,136600,M
2022,Data Analyst,109280,109280,M
2022,Data Engineer,128875,128875,M
2022,Data Engineer,93700,93700,M
2022,Data Engineer,156600,156600,M
2022,Data Engineer,108800,108800,M
2022,Data Engineer,113000,113000,L
2022,Data Analyst,135000,135000,M
2022,Data Engineer,60000,78526,M
2022,Data Engineer,50000,65438,M
2022,Data Architect,192400,192400,M
2022,Data Architect,90700,90700,M
2022,Data Analyst,130000,130000,M
2022,Data Analyst,61300,61300,M
2022,Data Analyst,130000,130000,M
2022,Data Analyst,61300,61300,M
2022,Data Engineer,160000,160000,L
2022,Data Engineer,136000,136000,M
2022,Data Analyst,58000,58000,S
2022,Data Analyst,132000,132000,M
2022,Data Engineer,165400,165400,M
2022,Data Architect,208775,208775,M
2022,Data Architect,147800,147800,M
2022,Data Engineer,136994,136994,M
2022,Data Engineer,101570,101570,M
2022,Data Analyst,128875,128875,M
2022,Data Analyst,93700,93700,M
2022,Data Engineer,132320,132320,M
2022,Data Analyst,164000,164000,M
2022,Data Engineer,155000,155000,M
2022,Data Analyst,112900,112900,M
2022,Data Analyst,90320,90320,M
2022,Data Analytics Manager,145000,145000,M
2022,Data Analytics Manager,105400,105400,M
2022,Data Engineer,90000,117789,M
2022,Data Engineer,209100,209100,L
2022,Data Engineer,154600,154600,L
2022,Data Analyst,115934,115934,M
2022,Data Analyst,81666,81666,M
2022,Data Engineer,175000,175000,M
2022,Data Engineer,75000,98158,M
2022,Data Analyst,58000,58000,S
2022,Data Engineer,183600,183600,L
2022,Data Analyst,40000,52351,M
2022,Data Engineer,60000,65949,M
2022,Data Engineer,45000,49461,M
2022,Data Engineer,60000,78526,M
2022,Data Engineer,45000,58894,M
2022,Data Engineer,63900,63900,M
2022,Data Engineer,82900,82900,M
2022,Data Engineer,100800,100800,L
2022,Data Engineer,45000,49461,M
2022,Data Analyst,30000,39263,M
2022,Data Analyst,40000,43966,M
2022,Data Analyst,30000,32974,M
2022,Data Engineer,80000,87932,M
2022,Data Engineer,70000,76940,M
2022,Data Engineer,80000,104702,M
2022,Data Engineer,70000,91614,M
2022,Data Engineer,60000,65949,M
2022,Data Engineer,80000,87932,M
2022,Data Analyst,40000,43966,M
2022,Data Analyst,30000,32974,M
2022,Data Engineer,75000,98158,M
2022,Data Engineer,60000,78526,M
2022,Data Engineer,70000,76940,M
2022,Data Engineer,209100,209100,L
2022,Data Engineer,154600,154600,L
2022,Data Engineer,180000,180000,M
2022,Data Engineer,80000,80000,M
2022,Data Engineer,105000,105000,M
2022,Data Engineer,50000,54957,L
2022,Data Engineer,120000,120000,M
2022,Data Engineer,100000,100000,M
2022,Data Analyst,135000,135000,M
2022,Data Analyst,50000,50000,M
2022,Data Engineer,324000,324000,M
2022,Data Engineer,216000,216000,M
2022,Data Engineer,210000,210000,M
2022,Data Engineer,52800,58035,M
2022,Data Engineer,115000,115000,M
2022,Data Engineer,65000,65000,S
2022,Data Analytics Engineer,20000,20000,M
2022,Data Engineer,62000,68147,M
2022,Data Analyst,20000,20000,S
2022,Data Analytics Lead,405000,405000,L
2022,Data Analyst,135000,135000,M
2022,Data Analyst,100000,100000,M
2022,Data Analyst,90320,90320,M
2022,Data Analyst,85000,85000,M
2022,Data Analyst,75000,75000,M
2022,Data Architect,266400,266400,M
2022,Data Architect,213120,213120,M
2022,Data Analyst,112900,112900,M
2022,Data Engineer,155000,155000,M
2022,Data Analyst,115934,115934,M
2022,Data Analyst,81666,81666,M
2022,Data Engineer,206699,206699,M
2022,Data Engineer,99100,99100,M
2022,Data Engineer,130000,130000,M
2022,Data Engineer,115000,115000,M
2022,Data Engineer,110500,110500,M
2022,Data Engineer,130000,130000,M
2022,Data Analyst,99050,99050,M
2022,Data Engineer,160000,160000,M
2022,Data Engineer,200100,200100,M
2022,Data Engineer,160000,160000,M
2022,Data Engineer,145000,145000,M
2022,Data Engineer,70500,70500,M
2022,Data Engineer,175100,175100,M
2022,Data Engineer,140250,140250,M
2022,Data Analyst,116150,116150,M
2022,Data Engineer,54000,54000,M
2022,Data Analyst,170000,170000,M
2022,Data Analyst,50000,65438,M
2022,Data Analyst,80000,80000,M
2022,Data Analyst,100000,100000,M
2022,Data Analyst,69000,69000,M
2022,Data Analyst,150075,150075,M
2022,Data Engineer,100000,100000,M
2022,Data Engineer,25000,25000,M
2022,Data Analyst,126500,126500,M
2022,Data Analyst,106260,106260,M
2022,Data Engineer,220110,220110,M
2022,Data Engineer,160080,160080,M
2022,Data Analyst,105000,105000,M
2022,Data Analyst,110925,110925,M
2022,Data Analyst,35000,45807,M
2022,Data Analyst,99000,99000,M
2022,Data Analyst,60000,60000,M
2022,Data Architect,192564,192564,M
2022,Data Architect,144854,144854,M
2022,Data Analytics Manager,150260,150260,M
2022,Data Analytics Manager,109280,109280,M
2022,Data Analyst,170000,170000,M
2022,Data Analyst,67000,67000,M
2022,Data Analyst,52000,52000,M
2022,Data Engineer,154000,154000,M
2022,Data Engineer,126000,126000,M
2022,Data Analyst,129000,129000,M
2022,Data Analyst,150000,150000,M
