work_year,job_title,salary,salary_in_usd,company_size
2022,Data Scientist,211500,211500,M
2022,Data Architect,192400,192400,M
2022,Data Architect,90700,90700,M
2022,Data Analyst,130000,130000,M
2022,Data Analyst,61300,61300,M
2022,Data Analyst,130000,130000,M
2022,Data Analyst,61300,61300,M
2022,Data Engineer,160000,160000,L
2022,Data Scientist,138600,138600,M
2022,Data Engineer,136000,136000,M
2022,Data Analyst,58000,58000,S
2022,Data Scientist,170000,170000,M
2022,Data Scientist,123000,123000,M
2022,Data Analyst,132000,132000,M
2022,Data Engineer,165400,165400,M
2022,Data Architect,208775,208775,M
2022,Data Architect,147800,147800,M
2022,Data Engineer,136994,136994,M
2022,Data Engineer,101570,101570,M
2022,Data Analyst,128875,128875,M
2022,Data Analyst,93700,93700,M
2022,Data Engineer,132320,132320,M
2022,Data Analyst,164000,164000,M
2022,Data Engineer,155000,155000,M
2022,Data Analyst,112900,112900,M
2022,Data Analyst,90320,90320,M
2022,Data Analytics Manager,145000,145000,M
2022,Data Analytics Manager,105400,105400,M
2022,Data Engineer,90000,117789,M
2022,Data Scientist,215300,215300,L
2022,Data Scientist,158200,158200,L
2022,Data Engineer,209100,209100,L
2022,Data Engineer,154600,154600,L
2022,Data Analyst,115934,115934,M
2022,Data Analyst,81666,81666,M
2022,Data Engineer,175000,175000,M
2022,Data Engineer,75000,98158,M
2022,Data Analyst,58000,58000,S
2022,Data Engineer,183600,183600,L
2022,Data Analyst,40000,52351,M
2022,Data Scientist,180000,180000,M
2022,Data Scientist,55000,71982,M
2022,Data Scientist,35000,45807,M
2022,Data Engineer,60000,65949,M
2022,Data Engineer,45000,49461,M
2022,Data Engineer,60000,78526,M
2022,Data Engineer,45000,58894,M
2022,Data Scientist,260000,260000,M
2022,Data Science Engineer,60000,60000,L
2022,Data Engineer,63900,63900,M
2022,Data Science Manager,241000,241000,M
2022,Data Science Manager,159000,159000,M
2022,Data Scientist,180000,180000,M
2022,Data Scientist,80000,80000,M
2022,Data Engineer,82900,82900,M
2022,Data Engineer,100800,100800,L
2022,Data Engineer,45000,49461,M
2022,Data Scientist,140400,140400,L
2022,Data Analyst,30000,39263,M
2022,Data Analyst,40000,43966,M
2022,Data Analyst,30000,32974,M
2022,Data Engineer,80000,87932,M
2022,Data Engineer,70000,76940,M
2022,Data Engineer,80000,104702,M
2022,Data Engineer,70000,91614,M
2022,Data Engineer,60000,65949,M
2022,Data Engineer,80000,87932,M
2022,Data Analyst,40000,43966,M
2022,Data Analyst,30000,32974,M
2022,Data Engineer,75000,98158,M
2022,Data Engineer,60000,78526,M
2022,Data Scientist,215300,215300,L
2022,Data Engineer,70000,76940,M
2022,Data Engineer,209100,209100,L
2022,Data Engineer,154600,154600,L
2022,Data Engineer,180000,180000,M
2022,Data Engineer,80000,80000,M
2022,Director of Data Science,250000,196979,L
2022,Data Engineer,105000,105000,M
2022,Data Scientist,2400000,31615,L
2022,Data Engineer,50000,54957,L
2022,Data Scientist,1400000,18442,M
2022,Data Engineer,120000,120000,M
2022,Data Scientist,104890,104890,M
2022,Data Engineer,100000,100000,M
2022,Data Scientist,140000,140000,M
2022,Data Analyst,135000,135000,M
2022,Data Analyst,50000,50000,M
2022,Data Scientist,220000,220000,M
2022,Data Scientist,140000,140000,M
2022,Data Scientist,140000,183228,M
2022,Data Scientist,70000,91614,M
2022,Data Scientist,185100,185100,M
2022,Data Scientist,200000,200000,M
2022,Data Scientist,120000,120000,M
2022,Data Engineer,324000,324000,M
2022,Data Engineer,216000,216000,M
2022,Data Engineer,210000,210000,M
2022,Data Scientist,230000,230000,M
2022,Data Scientist,100000,100000,M
2022,Data Scientist,100000,100000,M
2022,Data Scientist,150000,35590,L
2022,Data Scientist,100000,100000,M
2022,Data Engineer,52800,58035,M
2022,Data Scientist,165000,165000,M
2022,Data Scientist,66500,52396,L
2022,Data Scientist,40000,40000,L
2022,Data Engineer,115000,115000,M
2022,Data Scientist,120000,86703,M
2022,Data Engineer,65000,65000,S
2022,Data Analytics Engineer,20000,20000,M
2022,Data Scientist,48000,48000,S
2022,Data Science Manager,152500,152500,M
2022,Data Engineer,62000,68147,M
2022,Data Scientist,115000,122346,L
2022,Data Scientist,88000,69336,M
2022,Data Analyst,20000,20000,S
2022,Data Analytics Lead,405000,405000,L
2022,Data Scientist,135000,135000,L
2022,Data Scientist,78000,78000,M
2022,Data Analyst,135000,135000,M
2022,Data Analyst,100000,100000,M
2022,Data Analyst,90320,90320,M
2022,Data Analyst,85000,85000,M
2022,Data Analyst,75000,75000,M
2022,Data Architect,266400,266400,M
2022,Data Architect,213120,213120,M
2022,Data Analyst,112900,112900,M
2022,Data Engineer,155000,155000,M
2022,Data Scientist,141300,141300,M
2022,Data Scientist,102100,102100,M
2022,Data Analyst,115934,115934,M
2022,Data Analyst,81666,81666,M
2022,Data Engineer,206699,206699,M
2022,Data Engineer,99100,99100,M
2022,Data Engineer,130000,130000,M
2022,Data Engineer,115000,115000,M
2022,Data Engineer,110500,110500,M
2022,Data Engineer,130000,130000,M
2022,Data Analyst,99050,99050,M
2022,Data Engineer,160000,160000,M
2022,Data Scientist,205300,205300,L
2022,Data Scientist,140400,140400,L
2022,Data Scientist,176000,176000,M
2022,Data Scientist,144000,144000,M
2022,Data Engineer,200100,200100,M
2022,Data Engineer,160000,160000,M
2022,Data Engineer,145000,145000,M
2022,Data Engineer,70500,70500,M
2022,Data Scientist,205300,205300,M
2022,Data Scientist,140400,140400,M
2022,Data Engineer,175100,175100,M
2022,Data Engineer,140250,140250,M
2022,Data Analyst,116150,116150,M
2022,Data Engineer,54000,54000,M
2022,Data Analyst,170000,170000,M
2022,Data Analyst,50000,65438,M
2022,Data Analyst,80000,80000,M
2022,Data Scientist,140000,140000,M
2022,Data Scientist,210000,210000,M
2022,Data Scientist,140000,140000,M
2022,Data Analyst,100000,100000,M
2022,Data Analyst,69000,69000,M
2022,Data Scientist,210000,210000,M
2022,Data Scientist,140000,140000,M
2022,Data Scientist,210000,210000,M
2022,Data Analyst,150075,150075,M
2022,Data Engineer,100000,100000,M
2022,Data Engineer,25000,25000,M
2022,Data Analyst,126500,126500,M
2022,Data Analyst,106260,106260,M
2022,Data Engineer,220110,220110,M
2022,Data Engineer,160080,160080,M
2022,Data Analyst,105000,105000,M
2022,Data Analyst,110925,110925,M
2022,Data Analyst,35000,45807,M
2022,Data Scientist,140000,140000,M
2022,Data Analyst,99000,99000,M
2022,Data Analyst,60000,60000,M
2022,Data Architect,192564,192564,M
2022,Data Architect,144854,144854,M
2022,Data Scientist,230000,230000,M
2022,Data Scientist,150000,150000,M
2022,Data Analytics Manager,150260,150260,M
2022,Data Analytics Manager,109280,109280,M
2022,Data Scientist,210000,210000,M
2022,Data Analyst,170000,170000,M
2022,Data Scientist,160000,160000,M
2022,Data Scientist,130000,130000,M
2022,Data Analyst,67000,67000,M
2022,Data Analyst,52000,52000,M
2022,Data Engineer,154000,154000,M
2022,Data Engineer,126000,126000,M
2022,Data Analyst,129000,129000,M
2022,Data Analyst,150000,150000,M
